ID,Gene Description,Gene Accession Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Cluster_assignments
1557,Interleukin 9 receptor (IL9R) gene,L39064_rna1_at,-0.101945839,-0.275018976,-0.24176128,-0.107945026,-0.277917882,-0.244427387,-0.211811127,-0.182694087,-0.227942415,-0.23016209,-0.233765016,-0.229064985,-0.207874211,-0.20334603,-0.278244676,-0.253869864,-0.137435493,-0.192122905,-0.207128617,-0.154974492,-0.260687633,-0.221399062,-0.220554708,-0.28081399,-0.230629257,-0.179450943,-0.163290891,-0.164429016,-0.179531672,-0.261031851,-0.134593433,-0.242987504,-0.214108017,-0.192559693,7
1558,Mitochondrial carnitine palmitoyltransferase I mRNA,L39211_at,-0.191685835,-0.259832212,-0.271623216,-0.158013204,-0.347247119,-0.281018513,-0.213937094,-0.182694087,-0.164149557,-0.206942994,-0.226136591,-0.204516867,-0.230391338,-0.29019882,-0.265502531,-0.330232798,-0.214764623,-0.238538419,-0.192466725,-0.196576977,-0.232616833,-0.268907651,-0.217339755,-0.223689874,-0.266958178,-0.191354253,-0.270796353,-0.243583527,-0.262609426,-0.244506936,-0.189812081,-0.276747303,-0.23223237,-0.232412727,7
1559,K+ channel beta 1a subunit mRNA; alternatively spliced,L39833_at,-0.248682859,-0.224685703,-0.238396555,-0.23311547,-0.311146688,-0.262517382,-0.234346375,-0.233066277,-0.218095196,-0.184990395,-0.218931967,-0.225255794,-0.245547096,-0.251549329,-0.306195187,-0.304361203,-0.249876228,-0.221286635,-0.197761297,-0.229019282,-0.220140922,-0.288146666,-0.249489282,-0.256805304,-0.329635549,-0.191354253,-0.164406864,-0.208021355,-0.248425419,-0.274167039,-0.173165283,-0.314124224,-0.308058745,-0.262490488,4
1560,DCTD Deoxycytidylate deaminase,L39874_at,-0.034438725,0.981577213,0.115740779,0.100535582,0.393632184,0.474238763,-0.044710135,-0.097021699,0.123988656,0.063665015,-0.061701653,-0.117751968,0.06752757,0.019431378,-0.003260966,0.248122539,0.066546211,0.13196418,0.177746047,-0.093906624,-0.11643491,0.471205496,0.168052701,0.180732312,0.255619387,0.157946325,0.117190487,-0.013385383,0.389854886,0.196581171,-0.049735363,0.185038526,0.248247929,0.058589614,7
1561,Glycogen synthase kinase 3 mRNA,L40027_at,0.124425321,0.003115747,0.127096727,0.176458638,0.219283511,0.184798849,0.081147101,0.192122609,0.100869097,0.101237734,0.027720439,0.087944328,0.037216053,0.071977316,0.159098623,0.102490495,0.229564377,0.134017964,0.153716835,0.098457161,0.08006069,0.181442365,0.146351771,0.133956768,0.260410014,0.069287189,0.094499023,0.011087509,0.132516477,0.205055486,0.038370862,0.270643732,0.326293612,0.404107898,7
1562,P162 mRNA,L40157_at,-0.225641509,-0.203858142,-0.234190648,-0.245016922,-0.303762509,-0.205780581,-0.224992121,-0.200939132,-0.217667056,-0.228895594,-0.213422549,-0.185894157,-0.234288533,-0.238955674,-0.263036309,-0.286000716,-0.235664388,-0.213482256,-0.226677806,-0.219477428,-0.235735811,-0.264588688,-0.225377137,-0.253493761,-0.221048003,-0.207772612,-0.195282135,-0.192343408,-0.227757295,-0.25509983,-0.191842178,-0.253838868,-0.248137415,-0.223765371,7
1563,Thyroid receptor interactor (TRIP7) mRNA; 3' end of cds,L40357_at,-0.053841967,-0.02725778,0.1868206,0.001220017,0.324713179,-0.090662433,0.240169419,-0.075206971,0.213469914,0.164562541,0.123923353,-0.006438952,-0.085329079,0.004232139,0.252815045,0.139211469,0.055678334,-0.102577931,-0.141964653,-0.067571106,-0.161660088,-0.040787896,-0.054984643,-0.20299273,0.002913811,-0.142920095,-0.169986733,-0.121219065,0.376481394,-0.052563696,0.065168147,0.147661605,-0.167132653,-0.006077573,7
1564,GB DEF = Thyroid receptor interactor (TRIP2) mRNA; partial cds,L40366_at,-0.325083125,-0.268076455,-0.281717392,-0.247479292,-0.337811779,-0.304042142,-0.305353667,-0.281455311,-0.275037814,-0.290109574,-0.21681296,-0.238799583,-0.317428693,-0.286290445,-0.318937332,-0.34358588,-0.313411513,-0.270577446,-0.349267514,-0.23703444,-0.286809072,-0.300710921,-0.279227595,-0.299855362,-0.289713657,-0.241840706,-0.249220862,-0.216051523,-0.311645564,-0.344503855,-0.2214816,-0.331807929,-0.357253418,-0.313246711,1
1565,Thyroid receptor interactor (TRIP4) mRNA; 3' end of cds,L40371_at,-0.179963042,-0.262435658,-0.236714192,-0.11328016,-0.337401547,-0.320487592,-0.207134,-0.174364827,-0.253202675,-0.268156975,-0.216389159,-0.135104948,-0.232989468,-0.279776486,-0.252760386,-0.117835347,-0.236918374,-0.269345176,-0.218532311,-0.130547345,-0.283690094,-0.25948446,-0.151031356,-0.198025416,-0.181924549,-0.174525436,-0.092984551,-0.145691957,-0.256530566,-0.295776543,-0.163420815,-0.427058792,-0.129774292,-0.204590798,7
1566,Cytoplasmic antiproteinase 2 (CAP2) mRNA,L40377_at,-0.403100329,-0.284564941,-0.338497131,-0.33448301,-0.320171795,-0.443417328,-0.206708806,-0.227116806,-0.311857853,-0.348368397,-0.197318096,-0.287472575,-0.321325888,-0.270222679,-0.322636665,-0.31395873,-0.338909226,-0.339173825,-0.240117874,-0.277873576,-0.233006705,-0.296391959,-0.398984584,-0.299027477,-0.257376924,-0.202026186,-0.141343409,-0.194637742,-0.297461557,-0.391112589,-0.240970534,-0.306488079,-0.305839437,-0.321894067,7
1567,GB DEF = Thyroid receptor interactor (TRIP10) mRNA; 3' end of cds,L40379_at,-0.316189973,-0.240306374,-0.31242051,-0.317246424,-0.356272227,-0.374757576,-0.231370021,-0.238619117,-0.263049895,-0.191745041,-0.173585219,-0.257422293,-0.305304086,-0.317991713,-0.307839335,-0.35568711,-0.31633748,-0.254147175,-0.242154248,-0.191615213,-0.274333161,-0.350575308,-0.3077603,-0.299855362,-0.284124592,-0.228706019,-0.268564405,-0.238612471,-0.295840527,-0.311454026,-0.214579269,-0.324171784,-0.329142176,-0.286176725,4
1568,Thyroid receptor interactor (TRIP11) mRNA; 3' end of cds,L40380_at,-0.184005384,-0.176521968,-0.252276046,-0.226138757,-0.241407218,-0.244427387,-0.215212674,-0.187453664,-0.217667056,-0.182879568,-0.218931967,-0.222716334,-0.231690403,-0.2241907,-0.296330301,-0.272647635,-0.219780567,-0.17240658,-0.176583009,-0.170241459,-0.204546033,-0.263410789,-0.200461254,-0.223275931,-0.236218322,-0.162211667,-0.186354346,-0.173988739,-0.206683913,-0.201287928,-0.211331113,-0.220480971,-0.116828326,-0.201958994,7
1569,GB DEF = Thyroid receptor interactor (TRIP14) gene; 3' end of cds,L40387_at,-0.100733136,-0.108398487,-0.309476376,-0.138314249,-0.183564482,-0.093951523,-0.139953448,-0.185470507,-0.128613938,-0.089581018,-0.098996175,-0.061883838,-0.067142169,-0.202477502,-0.150412189,-0.305195771,-0.104413865,-0.256200959,-0.11874999,-0.136272457,-0.137877883,-0.135019808,-0.086330432,-0.010923238,-0.168351105,-0.10926246,-0.041277771,-0.131543566,-0.135358622,-0.045360528,-0.063134006,-0.125230108,-0.258864072,-0.155714435,7
1570,GB DEF = Thyroid receptor interactor (TRIP15) mRNA; 5' end of cds,L40388_at,-0.25070403,-0.239004651,-0.207693437,-0.264715877,-0.270533703,-0.329121453,-0.229244055,-0.212441443,-0.246780575,-0.24662654,-0.199860905,-0.206633084,-0.153313481,-0.253286384,-0.250294164,-0.210889633,-0.242770308,-0.205267121,-0.258037964,-0.233981046,-0.245092744,-0.268907651,-0.16670425,-0.220792274,-0.269353492,-0.197100679,-0.25480073,-0.200755965,-0.227757295,-0.253404967,-0.186563925,-0.29644052,-0.252206147,-0.250835356,7
1571,(clone s153) mRNA fragment,L40391_at,-0.191685835,0.095971957,-0.101284,0.372217005,0.910114488,-0.06476085,0.271208534,0.021174465,-0.02671662,-0.154172322,0.022211021,-0.130872514,-0.205709103,-0.198134862,0.241717047,0.191371943,-0.051328462,0.005040341,-0.11874999,0.014870516,-0.139827244,-0.205693743,-0.120489305,-0.066805525,0.307917065,0.037681849,-0.272284317,0.136511083,-0.144274284,-0.062309159,0.104552036,-0.067356166,0.122856996,0.139423598,7
1572,(clone S164) mRNA; 3' end of cds,L40392_at,-0.087393407,-0.063272104,-0.072263245,0.015994233,0.231590476,0.00965481,0.081572294,-0.01095268,-0.02286336,-0.117866099,0.013734993,-0.087278443,0.002141298,-0.017481058,0.034143395,0.001090534,0.031434607,-0.048358038,0.040494447,-0.048105723,-0.164389194,0.124510584,-0.049358476,-0.043624725,-0.086511227,-0.115419345,-0.094100524,-0.076479559,-0.040528405,-0.094511557,-0.061103909,-0.051280071,0.788649558,-0.011341181,4
1573,(clone S171) mRNA,L40393_at,-0.238981238,-0.202556419,-0.254379,-0.216699674,-0.076904117,-0.264573063,-0.171417757,-0.217201021,-0.199685176,-0.196811025,-0.157056965,-0.220600117,-0.218699753,-0.220716588,-0.204258027,-0.211724201,-0.212256651,-0.207320905,-0.1460374,-0.156882863,-0.229107983,-0.181350499,-0.185190228,-0.167807586,-0.275341776,-0.186428746,-0.210161784,-0.167488127,-0.190878877,-0.21908399,-0.133375374,-0.165822248,-0.212998363,-0.100822521,1
1574,(clone S194) mRNA; 3' end of cds,L40394_at,-0.155708989,-0.129659955,-0.212319934,-0.218341254,-0.222126306,-0.129720376,-0.184598751,-0.166432198,-0.199257036,-0.202299175,-0.111710217,-0.150341711,-0.110877357,-0.12865263,-0.212478766,-0.188356309,-0.172965093,-0.128455606,-0.076800688,-0.133600738,-0.268485077,-0.072983799,-0.181975275,-0.279986104,-0.243404262,-0.167137174,-0.079220876,-0.117777565,-0.160889834,-0.238151199,-0.201586646,-0.231332335,-0.1490083,-0.219253706,1
1575,(clone S20iii15) mRNA; 3' end of cds,L40395_at,-0.060713949,0.023509401,-0.115584083,-0.140776618,0.076932947,-0.034336768,0.010565002,0.054491505,-0.057542699,-0.14150736,-0.007878877,-0.067386003,-0.080998862,-0.107373696,-0.076425541,-0.07193413,-0.137853488,-0.077111011,-0.047476904,-0.171386481,-0.145285455,-0.094971246,0.143136818,0.049926365,-0.038604957,-0.090381348,-0.112700085,-0.129631622,-0.107395866,-0.144510016,-0.070036337,-0.177879319,-0.014740133,-0.121876954,7
1576,(clone s22i71) mRNA fragment,L40396_at,-0.24787439,-0.204292049,-0.230405332,-0.204798222,-0.303352276,-0.239904889,-0.247952563,-0.286214888,-0.224517295,-0.212431144,-0.227407995,-0.210019032,-0.242515944,-0.256326232,-0.295508227,-0.305195771,-0.244860284,-0.2282695,-0.2380815,-0.19963037,-0.224819388,-0.274011879,-0.230199566,-0.247284618,-0.2737449,-0.196279761,-0.174822618,-0.221022579,-0.238699243,-0.234761473,-0.19793247,-0.28116823,-0.241109604,-0.267002153,1
1577,(clone S240ii117/zap112) mRNA,L40399_at,-0.23251349,-0.383929764,-0.20979639,-0.136672669,-0.210229573,-0.236204662,-0.26283433,-0.290181203,-0.233080095,-0.155016653,-0.221474775,-0.206633084,-0.225195078,-0.18250136,-0.239607204,-0.226329134,-0.286659814,-0.103810201,-0.175361184,-0.205355483,-0.248211722,-0.336047889,-0.204479944,-0.31392942,-0.269353492,-0.222549134,-0.078104902,-0.186989963,-0.209115457,-0.205948802,-0.156518484,-0.334219343,-0.198202972,-0.154210547,1
1578,(clone zap113) mRNA; 3' end of cds,L40400_at,-0.155708989,-0.060234752,-0.1328283,-0.197821509,-0.24550954,-0.037214722,-0.156110796,-0.135891579,-0.158583737,-0.118288264,-0.191384877,-0.190973078,-0.154612546,-0.218111004,-0.237552019,-0.254704432,-0.172129103,-0.135438471,-0.242154248,-0.150012728,-0.171796766,-0.226895923,-0.181975275,-0.160770557,-0.199490181,-0.114598427,-0.118279953,-0.10133484,-0.144274284,-0.133493407,-0.17519538,-0.235351359,-0.288824738,-0.108717933,4
1579,(clone zap128) mRNA; 3' end of cds,L40401_at,-0.060713949,-0.101022059,-0.091189824,-0.126412797,-0.077724582,-0.003090413,-0.131874774,-0.131132001,-0.108919498,-0.053696961,-0.078653709,-0.08939466,-0.105248076,0.059383661,-0.199736621,-0.056077346,-0.16794915,0.077744288,-0.097978977,-0.022915227,-0.133589288,-0.12206292,-0.017610818,-0.101162784,-0.115254989,-0.065343351,-0.127579734,-0.020650773,-0.049444067,-0.106799314,-0.112262362,-0.131258644,-0.088717085,-0.064353235,1
1580,(clone Zap2) mRNA fragment,L40402_at,-0.326700062,-0.287168386,-0.288026252,-0.256097585,-0.338222011,-0.355023036,-0.285369579,-0.21997744,-0.270328274,-0.28504359,-0.244783852,-0.256575807,-0.277157678,-0.310609226,-0.339489179,-0.330650082,-0.277463917,-0.220054364,-0.294692694,-0.216424034,-0.238075044,-0.376881717,-0.269582737,-0.329245306,-0.320852732,-0.239377952,-0.196398109,-0.25314325,-0.32582957,-0.285183649,-0.218639463,-0.359539193,-0.410146938,-0.341820584,7
1581,(clone zap3) mRNA; 3' end of cds,L40403_at,-0.265256462,-0.222082258,-0.319991142,-0.224497177,-0.290224847,-0.265806472,-0.267511457,-0.253691112,-0.265190594,-0.275333786,-0.251988475,-0.23710661,-0.25940379,-0.284553389,-0.312771778,-0.333153785,-0.284987833,-0.238538419,-0.213237738,-0.282453666,-0.270044566,-0.32701733,-0.209302373,-0.277088504,-0.235419884,-0.235273362,-0.342218666,-0.289087811,-0.323803284,-0.248320378,-0.238128398,-0.274335889,-0.32396379,-0.252339244,7
1582,GB DEF = Thyroid receptor interactor (TRIP9) gene,L40407_at,-0.241002409,-0.178257598,-0.257323134,-0.247479292,-0.324274117,-0.256350338,-0.282818418,-0.265193423,-0.260481055,-0.222563113,-0.177823233,-0.231181202,-0.195316583,-0.198134862,-0.33537881,-0.28975627,-0.254892171,-0.203213337,-0.189208527,-0.217569057,-0.387785978,-0.226110657,-0.150227617,-0.206304273,-0.270551149,-0.231168773,-0.250336836,-0.257349529,-0.268688286,-0.280946491,-0.228383931,-0.363558216,-0.212258593,-0.289560474,7
1583,Thyroid receptor interactor (TRIP3) mRNA; 3' end of cds,L40410_at,-0.069607102,-0.006430219,-0.065113204,-0.046796186,0.382966147,-0.028991997,-0.023025273,-0.097021699,-0.058827119,-0.039343338,-0.132476485,-0.075004384,-0.045924107,0.000323764,0.065793239,0.054085575,-0.123641648,-0.046304254,-0.038109585,-0.041235588,-0.108247594,-0.043536327,-0.048554738,-0.051903582,-0.056170589,-0.078478038,-0.095216498,-0.11204173,-0.106585351,-0.111883903,-0.070848376,-0.053691485,-0.092785817,0.010465196,1
1584,Thyroid receptor interactor (TRIP8) mRNA; 3' end of cds,L40411_at,-0.076479083,-0.149619701,-0.191290401,-0.161706758,-0.229920718,-0.234148981,-0.224992121,-0.184677244,-0.174853057,-0.205676498,-0.211303542,-0.200707677,-0.110011314,-0.05830187,-0.288931636,-0.230084688,-0.130329573,-0.17363885,-0.149295599,-0.190851864,-0.227158622,-0.202552679,-0.10039585,-0.137175814,-0.2737449,-0.178630025,-0.183750408,-0.143780013,-0.181152701,-0.20510137,-0.171541205,-0.237762773,-0.096854549,-0.162857904,7
1585,IDS Iduronate 2-sulfatase (Hunter syndrome),L40586_at,-0.24019394,-0.193878269,-0.128622393,-0.165810707,-0.260277898,-0.166722638,-0.193953005,-0.223547123,-0.215098216,-0.22931776,-0.193927685,-0.194782269,-0.210039319,-0.16599933,-0.215356025,-0.250531594,-0.146213394,-0.17240658,-0.189208527,-0.194668606,-0.171796766,-0.11146183,-0.130134163,-0.176914329,-0.180726892,-0.191354253,-0.151759163,-0.177047851,-0.124821931,-0.158916352,-0.217015386,-0.260269306,-0.219286404,-0.223013427,7
1586,(clone FBK III 16) protein tyrosine kinase (NET PTK) mRNA,L40636_at,-0.135901513,-0.165240372,-0.192552173,-0.223676388,-0.263969988,-0.187690586,-0.220740187,-0.208475129,-0.255343375,-0.267312644,-0.229950803,-0.215097952,-0.265466093,-0.213768365,-0.322225628,-0.326477244,-0.235246393,-0.221286635,-0.205092243,-0.180928336,-0.232226961,-0.314453075,-0.146208926,-0.249354332,-0.249791765,-0.172062682,-0.109352164,-0.222934524,-0.206683913,-0.277980481,-0.202398685,-0.266699744,-0.208189861,-0.264370348,1
1587,LGALS1 Ubiquinol-cytochrome c reductase core protein II,L40904_at,-0.245044751,-0.267642548,0.099337743,-0.137493459,-0.282430436,-0.300341916,-0.231370021,0.107243484,-0.216810776,-0.247893036,-0.219355768,-0.194782269,-0.173665499,-0.336230799,-0.335789847,-0.316879717,-0.166695164,-0.230323283,-0.174546635,-0.283598689,-0.187391655,-0.256736029,-0.240648162,-0.178984044,-0.290512094,-0.235273362,-0.052809499,-0.268438808,-0.272335602,-0.25213382,-0.203210724,-0.294029106,-0.328032522,-0.297455886,4
1588,Phosphoglucomutase-related protein (PGMRP) gene,L40933_at,-0.330742404,-0.269378178,-0.377191471,-0.248300081,-0.362835941,-0.604993871,-0.247527369,-0.319531928,-0.232223815,-0.249581698,-0.313439676,-0.258692024,-0.320459845,-0.390948057,-0.332912588,-0.376968583,-0.336401254,-0.267291392,-0.181877581,-0.27367516,-0.292657155,-0.338011053,-0.24627433,-0.294060162,-0.157172976,-0.198742514,-0.253684757,-0.317002204,-0.465238094,-0.403400346,-0.257617333,-0.33542505,-0.244068682,-0.454988161,7
1589,GB DEF = (clone PEBP2aA1) core-binding factor; runt domain; alpha subunit 1 (CBFA1) mRNA; 3' end of cds,L40992_at,-0.156517458,-0.118812267,-0.335132406,-0.186740847,-0.231971878,-0.115741744,-0.20585842,-0.152153467,-0.228370555,-0.323038474,-0.259193099,-0.21975363,-0.199646799,-0.255457704,-0.279888823,-0.391156232,-0.239844341,-0.170352796,-0.165179315,-0.168333088,-0.187391655,-0.244171774,-0.196442563,-0.213755245,-0.183920643,-0.151129275,-0.173706645,-0.234788581,-0.202226083,-0.189847603,-0.154894406,-0.289206277,-0.309168399,-0.262490488,1
1590,NF-AT3 mRNA,L41066_at,-0.297595199,-0.179559321,-0.277090895,-0.242964948,-0.308275062,-0.290474646,-0.282818418,-0.266383317,-0.251490115,-0.242404886,-0.220627173,-0.283663385,-0.223029969,-0.261971664,-0.327980145,-0.339413042,-0.292929743,-0.225394202,-0.242154248,-0.254591452,-0.238854788,-0.250846534,-0.232610781,-0.288678905,-0.280531622,-0.220086381,-0.173706645,-0.280292865,-0.276388175,-0.296623974,-0.219451502,-0.278756815,-0.208189861,-0.2609866,4
1591,Transcription factor NFATx mRNA,L41067_at,-0.070819804,-0.062838197,-0.140398931,-0.222034808,-0.099056655,0.106271827,0.057761466,-0.179917667,-0.204394716,-0.168525945,-0.077382304,-0.207902814,-0.151148373,-0.137337909,-0.017647259,-0.061502035,-0.141197451,-0.068895876,-0.041367783,-0.182073358,-0.226378877,-0.009377258,-0.195638824,-0.206304273,-0.159967508,-0.154412946,-0.084056761,-0.191578631,-0.117932557,-0.165272089,-0.224729755,-0.140100496,0.015590417,-0.16210596,1
1592,GB DEF = Expressed pseudo TCTA mRNA at t(1;3) translocation site,L41143_at,-0.554283925,0.042601332,-0.327982365,-0.259380744,-0.413294499,-0.946236952,-0.312156761,-0.606693079,-0.361093952,-0.337392097,-0.272330942,-0.48301103,-0.371556402,-0.378788667,-0.305373113,-0.574343817,-0.434630149,-0.384357069,-0.407915082,-0.374818817,-0.390125211,-0.497812672,-0.392554678,-0.700552062,-0.526849694,-0.336246267,-0.473159575,-0.336121651,-0.540210701,-0.441534765,-0.366024531,-0.451976739,-0.198942742,-0.470778986,1
1593,5-HT6 serotonin receptor mRNA,L41147_at,-0.260405651,-0.171315078,-0.349011897,-0.204798222,-0.337811779,-0.200846946,-0.290471899,-0.315962245,-0.254058955,-0.290953905,-0.247750461,-0.187163887,-0.346008123,-0.320597297,-0.292630968,-0.445403125,-0.241934317,-0.161316147,-0.358634834,-0.257263171,-0.255619294,-0.270870816,-0.165900512,-0.27501879,-0.213063624,-0.215160873,-0.384625665,-0.21719869,-0.174263326,-0.264421577,-0.300655397,-0.33703266,-0.163063921,-0.189927889,1
1594,COL9A3 Collagen; type IX; alpha 3,L41162_at,-0.517094377,-0.485898032,-0.558045454,-0.432156996,-0.553593901,-0.487408906,-0.446517863,-0.441694407,-0.403907951,-0.407893716,-0.394809542,-0.394976401,-0.441705912,-0.531649578,-0.552817348,-0.728738821,-0.532859044,-0.378195717,-0.37451855,-0.404971077,-0.3706316,-0.638375275,-0.462881769,-0.632251489,-0.575953621,-0.383859507,-0.617120176,-0.353711542,-0.573441803,-0.447890501,-0.414746868,-0.664583096,-0.713082553,-0.633574869,1
1595,PLCB4 Phospholipase C; beta 4,L41349_at,-0.270107272,-0.279791959,-0.259426087,-0.227780337,-0.312377384,-0.263339654,-0.240299082,-0.214027969,-0.224089155,-0.256758509,-0.230374604,-0.228641742,-0.270229331,-0.279776486,-0.299207559,-0.312706879,-0.259908115,-0.214714526,-0.243376072,-0.205355483,-0.248991466,-0.292858262,-0.253507973,-0.276674561,-0.300492567,-0.227885101,-0.193050188,-0.207256577,-0.254504279,-0.240269778,-0.204022762,-0.275541596,-0.276988426,-0.271137845,4
1596,Prostasin mRNA,L41351_at,-0.095073857,-0.383061949,-0.370462021,-0.284414833,-0.291455543,-0.012546547,-0.294723833,-0.263210266,-0.283172474,-0.302774536,-0.226136591,-0.336568811,-0.234721554,-0.271091207,-0.33661192,-0.197953836,-0.317591466,-0.248807338,-0.178619382,-0.264133306,-0.32501655,-0.088689118,-0.436760278,-0.400029537,-0.382332446,-0.198742514,-0.11716398,-0.20610941,-0.267877771,-0.200440497,-0.237316359,-0.432685425,-0.35429434,-0.439573308,1
1597,PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1),L41559_at,-0.30446718,-0.153524869,-0.26110845,-0.265536667,-0.326325278,-0.257172611,-0.219889801,-0.217201021,-0.263906174,-0.252536855,-0.204946521,-0.204093624,-0.24901127,-0.270656943,-0.190282772,-0.348593285,-0.261998092,-0.237716905,-0.226677806,-0.177111594,-0.08485526,-0.254380231,-0.150227617,-0.164496043,-0.134417497,-0.134710916,-0.114932032,-0.095981395,-0.212762773,-0.208491096,-0.217015386,-0.240977992,-0.203011474,-0.154210547,1
1598,GCNT2 Glucosaminyl (N-acetyl) transferase 2; I-branching enzyme,L41607_at,-0.173899529,-0.194312176,-0.237975964,-0.229832311,-0.265610917,-0.211947624,-0.248802949,-0.247345009,-0.228370555,-0.227206933,-0.243936249,-0.210019032,-0.220864861,-0.227664811,-0.293453042,-0.281827878,-0.23817236,-0.223340418,-0.196539473,-0.194668606,-0.235345938,-0.221006429,-0.177956585,-0.253493761,-0.213063624,-0.181503238,-0.161058943,-0.214139578,-0.196147223,-0.236456336,-0.188188003,-0.246202723,-0.177119541,-0.196695385,1
1599,UDP-Galactose 4 epimerase (GALE) gene,L41668_rna1_at,-0.165410611,-0.179125413,-0.253537818,-0.236398629,-0.303762509,-0.279785104,-0.21606306,-0.189436821,-0.242071035,-0.279133274,-0.203675117,-0.221869847,-0.247279183,-0.205083086,-0.298385486,-0.305195771,-0.251966204,-0.213482256,-0.203870419,-0.20230209,-0.241973766,-0.281864539,-0.214928541,-0.329245306,-0.234222227,-0.175346354,-0.248104888,-0.155251681,-0.267067257,-0.23306661,-0.192654217,-0.308497591,-0.288824738,-0.253843132,1
1600,Alpha-2;8-polysialyltransferase (PST) gene,L41680_at,-0.41765276,-0.318843636,-0.444485977,-0.437081735,-0.393193122,-0.56470252,-0.338518749,-0.273919314,-0.274181534,-0.373276154,-0.263854914,-0.27435203,-0.395372593,-0.362720901,-0.389635685,-0.452079666,-0.327623353,-0.33219096,-0.431944293,-0.291232173,-0.27589265,-0.516266421,-0.374872438,-0.329659249,-0.424250432,-0.296021289,-0.357098315,-0.251231306,-0.444164713,-0.335182109,-0.319332292,-0.517486826,-0.464519997,-0.368890569,1
1601,TNF receptor-1 associated protein (TRADD) mRNA; 3' end of cds,L41690_at,0.042365776,0.054750742,-0.103386954,-0.034073945,-0.004293023,0.103393873,-0.117843393,0.070753393,-0.107635078,-0.157549645,-0.057887441,-0.088971417,-0.007385179,-0.050050855,-0.128627231,-0.051069941,-0.109429808,-0.058626957,0.004654267,-0.162607975,-0.137877883,-0.054137417,-0.122900519,-0.156217186,-0.116053427,-0.115419345,-0.043509719,-0.079921059,-0.045796751,-0.12417166,-0.102517895,-0.139296691,0.108801375,0.038287125,1
1602,Cam kinase I mRNA,L41816_at,-0.418461229,-0.553587606,-0.560148407,-0.400146194,-0.598309208,-0.607871825,-0.475005819,-0.432968515,-0.529352968,-0.332748278,-0.376162281,-0.504173201,-0.510989379,-0.602434602,-0.562271198,-0.437057449,-0.448423994,-0.462400853,-0.52969024,-0.323292803,-0.14801456,-0.785612638,-0.514722881,-0.703449663,-0.590325503,-0.505765819,-0.52970224,-0.407245994,-0.650845954,-0.465262847,-0.384701427,-0.542002871,-0.734165984,-0.379417786,4
1603,RB1 Retinoblastoma 1 (including osteosarcoma),L41870_at,-0.190473132,-0.096682984,-0.180355044,-0.017658149,-0.245919772,-0.125197877,-0.010694666,-0.101781276,-0.174853057,-0.255069848,-0.139681108,-0.036912477,-0.217833709,-0.213334101,0.013591548,-0.17416866,-0.183832971,-0.159262364,-0.140742828,-0.20421046,-0.208444755,-0.252809699,-0.273601428,-0.246042789,-0.19230424,-0.204078481,-0.14469133,-0.134602678,-0.17223704,-0.211880822,-0.18290975,-0.210031509,-0.190065508,-0.17338512,7
1604,Splicing factor; arginine/serine-rich 7 (SFRS7) gene,L41887_rna1_at,-0.115689802,-0.120547897,-0.150493107,-0.060749613,-0.060084598,-0.086551071,-0.064694223,-0.17238167,-0.078093419,-0.054963457,-0.191384877,-0.228641742,-0.187955214,-0.173381817,-0.128216194,-0.203378525,-0.193864858,-0.17240658,-0.074764314,-0.15573784,-0.191290377,-0.216687466,-0.197246301,-0.245214903,-0.106072954,-0.150308357,-0.109352164,-0.126190121,-0.162916121,-0.158068921,-0.165450913,-0.170645076,-0.086867661,-0.154962491,4
1605,GB DEF = Retinoblastoma susceptibility protein (RB1) gene; exon 26; bases 174145-174668 in L11910,L41913_at,-0.271319975,-0.224685703,-0.254379,-0.242144158,-0.309915991,-0.244427387,-0.218614221,-0.253691112,-0.190266096,-0.220452287,-0.227831796,-0.217637413,-0.25680566,-0.251983593,-0.300851707,-0.311455028,-0.254892171,-0.214714526,-0.216495937,-0.192760235,-0.221700411,-0.290895097,-0.227788352,-0.289920733,-0.280531622,-0.227064183,-0.15994297,-0.224081691,-0.22086792,-0.24704923,-0.207676938,-0.28116823,-0.25479534,-0.25722688,4
1606,HIC-1 gene fragment,L41919_rna1_at,-0.421695103,-0.22164835,-0.272884988,-0.354181965,-0.246740237,-0.36119008,-0.164614663,-0.076000234,-0.149592797,-0.355545208,-0.251564674,-0.169810908,-0.284086025,-0.208557197,-0.311949704,-0.345255015,-0.137435493,-0.155976309,-0.185950328,-0.205355483,-0.130080438,-0.005450929,-0.173134155,-0.161598443,-0.224241754,-0.151129275,-0.33403486,-0.199608798,-0.175073841,-0.221202569,-0.107796148,-0.247810332,-0.139761181,-0.223765371,7
1607,Receptor protein-tyrosine kinase (HEK5) mRNA; 3' end,L41939_at,-0.22483304,-0.387834932,-0.378032653,-0.238860999,-0.364066638,-0.278551695,-0.325337755,-0.223547123,-0.287025734,-0.286310086,-0.321068101,-0.290858523,-0.327821213,-0.366195012,-0.404433015,-0.325642677,-0.319681442,-0.293169068,-0.323201928,-0.293140543,-0.301234344,-0.380415414,-0.3519659,-0.389680966,-0.290512094,-0.214339955,-0.299811668,-0.255055195,-0.331097916,-0.328826372,-0.195496354,-0.3776248,-0.389063507,-0.339940724,7
